token	freq	lMI	rMI
our	0.0007543288187896451	0.0001312207405179693	0.00014793052621569586
might	0.0007543288187896451	0.00018037845250991292	0.0003395398219034649
right	0.0007543288187896451	0.0005547076525356255	0.00012690094654232287
years	0.0007543288187896451	0.00030519181773535443	0.00010154517851833967
turned	0.0007371849819989714	0.00018159050535870402	0.00021358533042868194
white	0.0007371849819989714	0.00013583550832372489	0.00014991777601210842
think	0.0007371849819989714	0.0005570272041829359	0.00015896759018568904
place	0.0007371849819989714	0.00034306997117148063	0.0001436455707533905
left	0.0007200411452082976	0.00017798680587216074	0.00012468914225129802
god	0.0007200411452082976	0.0002603772633236852	0.00014146385928642306
found	0.0007200411452082976	0.00023726424408066475	0.00014084304395643374
why	0.0007200411452082976	0.000127889802149017	0.00017371286305378457
behind	0.0007200411452082976	0.00013459412088502284	0.0002251551729090136
your	0.0007200411452082976	0.00012071611675177058	0.00016300857759292745
stood	0.0007028973084176239	0.00025061190421320906	0.00017044606754505455
mrs	0.0007028973084176239	0.00012739077781045085	0.0004108582688678094
people	0.0007028973084176239	0.00011567313086875557	0.00014068965142699757
because	0.0007028973084176239	0.00010059050398965674	0.00024040547944312025
water	0.0006857534716269502	0.00026368657182191096	0.00012623465034963566
kate	0.0006857534716269502	0.0001138225756675661	0.00010264345426404149
can	0.0006686096348362763	0.00041902858898782005	0.00018947237981442415
mr	0.0006686096348362763	9.243497611583095e-05	0.0011037894152988784
every	0.0006686096348362763	0.00010736170772492546	0.00023358219530749262
put	0.0006686096348362763	0.0001699413052537304	0.0001589833303021512
though	0.0006686096348362763	0.0006877864424957202	0.0001237657950588794
say	0.0006514657980456026	0.0003842394400647601	0.00011822750407196668
should	0.0006514657980456026	0.00023431431669107604	0.00034473114273336926
us	0.0006343219612549288	0.00024291698627599252	9.840868267324717e-05
since	0.0006343219612549288	0.0001329744426507165	0.00013642070372327656
john	0.0006343219612549288	0.0001292827656715579	0.00013809968643930973
sat	0.0006343219612549288	0.00012870352720786523	0.00021594390950159422
each	0.0006343219612549288	0.00010543702476790318	0.00029078499064541193
heard	0.0006343219612549288	0.00024551290880104237	0.00017119513185791837
most	0.0006171781244642551	0.00030364070940144176	0.0003741223662014385
let	0.0006171781244642551	0.00013425358366729636	0.00042973004648956477
winston	0.0006171781244642551	0.0001245980106270412	0.00016534036654716714
moment	0.0006171781244642551	0.0006143639931367953	0.00013538187552691844
tell	0.0006000342876735813	0.0004538678299265906	0.00036609055920422515
days	0.0006000342876735813	0.00031564830851253423	0.00011028419918065083
those	0.0006000342876735813	0.0001313170911439866	0.00019955034235166318
boy	0.0006000342876735813	0.00033951591060193856	0.00010944828131627981
began	0.0006000342876735813	0.00017297615351275476	0.0009120863032292251
road	0.0006000342876735813	0.0014218666571517962	0.00018089922162310124
voice	0.0006000342876735813	0.0002039807469540317	0.00012807858434995975
woman	0.0005828904508829076	0.000185576951522681	0.00010232795004394796
enough	0.0005828904508829076	0.00014186803605040264	0.0003308766283163943
want	0.0005828904508829076	0.00039914775601167306	0.00115422239460682
across	0.0005657466140922339	0.0001448047251825481	0.0013977261699394856
nothing	0.0005657466140922339	0.00012317442439906159	0.00013537025013747128
morning	0.0005657466140922339	0.00026527655202120826	9.846826599050744e-05
doctor	0.0005657466140922339	0.0013976135101189321	0.00011452487377065207
scotty	0.0005486027773015601	0.0001240425829007042	0.00015620295948315412
great	0.0005486027773015601	0.0002273756792468242	0.0001399285517713758
body	0.0005486027773015601	0.000244374697751335	9.716846136467636e-05
dark	0.0005486027773015601	0.0002338644971389462	0.00012062483979029879
work	0.0005486027773015601	0.00011972652176593769	8.616530019988113e-05
hans	0.0005486027773015601	0.0007285919007220069	0.00013470850829359185
things	0.0005486027773015601	0.0001116775535860823	9.592791694326854e-05
miss	0.0005486027773015601	0.00011135019476779239	0.0014462002506270282
last	0.0005314589405108864	0.00037727759148635173	0.0001477768919029082
front	0.0005314589405108864	0.00046943947140634646	0.00046881363203736374
yet	0.0005314589405108864	0.00016047141346651908	0.00011739101222108252
next	0.0005314589405108864	0.0004083599519929589	0.00013841227406589913
few	0.0005314589405108864	0.0007950849438893439	0.00037952680994810987
mind	0.0005314589405108864	0.0005489169739590848	9.500015113383386e-05
being	0.0005314589405108864	0.0001612070385162264	0.00013857335103019551
small	0.0005314589405108864	0.00019794027621331594	0.0001318299593918382
figure	0.0005143151037202125	0.0003456251426107104	0.00011561707644332144
watson	0.0005143151037202125	0.00010202382075822294	0.00016662352787246982
without	0.0005143151037202125	0.00012190837360073084	0.00014674039051554595
black	0.0005143151037202125	0.00010614152058839136	0.0002663822356861259
hands	0.0005143151037202125	0.0003743847292966799	0.00010961558087510271
thing	0.0005143151037202125	0.0002469758053900444	0.00012028154469375475
together	0.0005143151037202125	0.00017963460192022644	0.00010459320815448607
three	0.0005143151037202125	0.0001574844322995815	0.00016122110878041766
done	0.0005143151037202125	0.0003523622850711807	0.00023109940064129083
hall	0.0004971712669295388	0.0010933971136323545	0.0001399293096714468
river	0.0004971712669295388	0.0006769744434392823	0.00014021386224460577
many	0.0004971712669295388	0.00024646457258090755	0.00025168736635639423
ever	0.0004971712669295388	0.00029252798729892333	0.00021782552015472777
anything	0.0004971712669295388	0.00013558372498909967	9.686856018424955e-05
rector	0.0004971712669295388	0.00011074734342608372	0.0002884622843567813
open	0.00048002743013886507	0.00014894849012709073	0.00010717540221817359
called	0.00048002743013886507	0.0001259481723409397	0.00010818873727782446
bed	0.00048002743013886507	0.0003146826397153576	0.00012214638657022844
almost	0.00048002743013886507	0.00012210745496302837	0.00016553976837776547
street	0.00048002743013886507	0.00038779706266963115	9.303261593597914e-05
such	0.00048002743013886507	9.669893910165182e-05	0.0005963304854199532
i'm	0.00048002743013886507	0.00011997343552611422	0.00018025164455722227
both	0.00048002743013886507	0.0001276882217132661	0.00014382383549916932
gone	0.00048002743013886507	0.0005549368607150064	9.49590115535577e-05
seen	0.0004628835933481913	0.0006381352108010886	0.00010941968195014282
better	0.0004628835933481913	0.0001235424070861108	0.00012667876405300348
has	0.0004628835933481913	0.0002352209286066141	0.0002402041879588391
really	0.0004628835933481913	0.00015831847648633952	0.0001240488020867853
young	0.0004628835933481913	0.00020105298178463838	0.00022557136459160857
find	0.0004628835933481913	0.00039460811301245146	0.00046706826534676865
alex	0.0004457397565575176	0.00012573312421128261	0.00012616573542678815
part	0.0004457397565575176	0.00018811178133937208	0.0009253350673448757
hair	0.0004457397565575176	0.00018768027384781716	0.00014166729970882197
window	0.0004457397565575176	0.0005118380533302486	0.000111958958549583
tried	0.0004457397565575176	0.00015757783803171932	0.0016209051253516969
war	0.00042859591976684384	0.00016894176718921229	0.00010826017251063816
air	0.00042859591976684384	0.00022140543851331711	9.976443139275412e-05
suddenly	0.00042859591976684384	8.42774534200853e-05	8.915969753247002e-05
give	0.00042859591976684384	0.00017559617380317617	0.00015356513271452875
until	0.00042859591976684384	0.00012146078311952288	0.00016806798381216557
against	0.00042859591976684384	0.00014853795634837565	0.00026348766468708046
moved	0.00042859591976684384	0.00012276595055644816	0.00011026197605281491
under	0.00042859591976684384	0.00012843873804977728	0.00025219475715691574
hell	0.0004114520829761701	0.00026626630531200715	0.00017508177365426205
sure	0.0004114520829761701	0.00021065213467086474	0.00018723753433194838
side	0.0004114520829761701	0.0001635432648084621	0.0004959117253203719
far	0.0004114520829761701	0.00016539130930681172	0.0001447215344250954
hear	0.0004114520829761701	0.0005144211943221355	0.00012380687569778443
stopped	0.0004114520829761701	0.00016107291886329402	0.00010541323991352851
couldn't	0.0004114520829761701	0.00042297950631478657	0.00012134334821122157
world	0.0004114520829761701	0.000748523178289298	0.00011014096604692225
ran	0.0003943082461854963	0.00019185988797805378	0.00013257628883055995
whole	0.0003943082461854963	0.0006058195869968133	0.00020243022951243534
eileen	0.0003943082461854963	0.00014396063820875914	0.00010097047880712872
held	0.0003943082461854963	0.00013126639205394692	0.00010496580943016638
near	0.0003943082461854963	0.00015334058416326663	0.00033074942913152624
toward	0.0003943082461854963	0.00019150876946190658	0.00031947643520924095
that's	0.0003943082461854963	0.000116318547212433	0.00016701690939107812
name	0.0003943082461854963	0.00033419158167432173	8.705570798022349e-05
walked	0.00037716440939482255	0.00013730451457493319	0.0002132909741150094
oh	0.00037716440939482255	0.00012096093889782412	0.00012145416637055758
am	0.00037716440939482255	0.0016783837673940228	0.00012243703268879924
care	0.00037716440939482255	0.0006626440629332503	0.00024237742006465475
city	0.00037716440939482255	0.0004907436347893835	0.0001141792675080216
getting	0.00037716440939482255	0.00011080095167659527	0.00013986128986976642
arm	0.00037716440939482255	0.0007100614866757173	0.00012316811694531609
coming	0.0003600205726041488	0.000141695056861442	0.00016856437979881876
brought	0.0003600205726041488	0.00015679961685693272	0.00013462820958057455
children	0.0003600205726041488	0.00010253612631504875	0.00012804523963460382
feet	0.0003600205726041488	0.00017440523963661793	0.0001432447379232279
along	0.0003600205726041488	0.00012881938681124304	0.000248752896721985
end	0.0003600205726041488	0.0004199760182317175	0.0006772168968834497
keep	0.0003600205726041488	0.0004799487038436086	0.00012724066864106773
looking	0.0003600205726041488	0.00012681967503869312	0.00047880270875497947
light	0.0003600205726041488	0.0001990588578616671	0.00012686088777694266
girl	0.0003600205726041488	0.00026345281897636054	9.091166889839033e-05
kitchen	0.0003600205726041488	0.0010084267620941254	0.00013104267146162848
it's	0.0003600205726041488	0.00011757562934036834	0.00013397036832637574
ten	0.0003428767358134751	0.00010685654431693227	0.0003844842424291849
table	0.0003428767358134751	0.0002664665049290426	0.00012441330475827138
town	0.0003428767358134751	0.00015630764726204722	0.00012047653572922982
kid	0.0003428767358134751	0.0006118587478142981	0.00010527057172670104
gave	0.0003428767358134751	0.00013286270648064406	0.00014781803720207698
herself	0.0003428767358134751	0.00014983368376724843	0.00010133132351704811
joe	0.0003428767358134751	0.0022271280886383598	0.00011453021141133313
yes	0.0003428767358134751	0.00012293529362582368	0.000138895289028337
